first_name,last_name,position,team_abbreviation
Quincy,Acy,PF,NYK
Jordan,Adams,SG,MEM
Steven,Adams,C,OKC
Jeff,Adrien,PF,MIN
Arron,Afflalo,SG,DEN
Arron,Afflalo,SG,POR
Alexis,Ajinca,C,NOP
Furkan,Aldemir,PF,PHI
Cole,Aldrich,C,NYK
LaMarcus,Aldridge,PF,POR
Lavoy,Allen,PF,IND
Tony,Allen,SG,MEM
Al-Farouq,Aminu,SF,DAL
Louis,Amundson,PF,CLE
Louis,Amundson,PF,NYK
Chris,Andersen,C,MIA
Alan,Anderson,SG,BRK
Kyle,Anderson,SF,SAS
Ryan,Anderson,PF,NOP
Giannis,Antetokounmpo,SG,MIL
Carmelo,Anthony,SF,NYK
Joel,Anthony,C,DET
Pero,Antic,PF,ATL
Trevor,Ariza,SF,HOU
Darrell,Arthur,PF,DEN
Omer,Asik,C,NOP
D.J.,Augustin,PG,DET
D.J.,Augustin,PG,OKC
Jeff,Ayres,PF,SAS
Luke,Babbitt,SF,NOP
Cameron,Bairstow,PF,CHI
Leandro,Barbosa,SG,GSW
Jose,Barea,PG,DAL
Andrea,Bargnani,C,NYK
Harrison,Barnes,SF,GSW
Matt,Barnes,SF,LAC
Earl,Barron,C,PHO
Will,Barton,SG,POR
Will,Barton,SG,DEN
Brandon,Bass,PF,BOS
Nicolas,Batum,SF,POR
Jerryd,Bayless,PG,MIL
Aron,Baynes,C,SAS
Kent,Bazemore,SG,ATL
Bradley,Beal,SG,WAS
Michael,Beasley,SF,MIA
Marco,Belinelli,SG,SAS
Jerrelle,Benimon,PF,UTA
Anthony,Bennett,PF,MIN
Patrick,Beverley,PG,HOU
Sim,Bhullar,C,SAC
Bismack,Biyombo,C,CHO
Tarik,Black,C,HOU
Tarik,Black,C,LAL
DeJuan,Blair,PF,WAS
Steve,Blake,PG,POR
Eric,Bledsoe,PG,PHO
Bojan,Bogdanovic,SF,BRK
Andrew,Bogut,C,GSW
Matt,Bonner,PF,SAS
Trevor,Booker,PF,UTA
Carlos,Boozer,PF,LAL
Chris,Bosh,C,MIA
Avery,Bradley,SG,BOS
Elton,Brand,PF,ATL
Corey,Brewer,SF,MIN
Corey,Brewer,SF,HOU
Aaron,Brooks,PG,CHI
Jabari,Brown,SG,LAL
Lorenzo,Brown,PG,MIN
Markel,Brown,SG,BRK
Shannon,Brown,SG,MIA
Kobe,Bryant,SG,LAL
Chase,Budinger,SF,MIN
Reggie,Bullock,SF,LAC
Reggie,Bullock,SF,PHO
Trey,Burke,PG,UTA
Alec,Burks,SG,UTA
Caron,Butler,SF,DET
Jimmy,Butler,SG,CHI
Rasual,Butler,SF,WAS
Dwight,Buycks,PG,LAL
Will,Bynum,SG,WAS
Bruno,Caboclo,SF,TOR
Nick,Calathes,SG,MEM
Jose,Calderon,PG,NYK
Kentavious,Caldwell-Pope,SG,DET
Isaiah,Canaan,PG,HOU
Isaiah,Canaan,PG,PHI
Clint,Capela,C,HOU
DeMarre,Carroll,SF,ATL
Vince,Carter,SG,MEM
Michael,Carter-Williams,PG,PHI
Michael,Carter-Williams,PG,MIL
Omri,Casspi,SF,SAC
Mario,Chalmers,PG,MIA
Tyson,Chandler,C,DAL
Wilson,Chandler,SF,DEN
Will,Cherry,PG,CLE
Patrick,Christopher,SG,UTA
Earl,Clark,PF,BRK
Ian,Clark,SG,UTA
Ian,Clark,SG,DEN
Jordan,Clarkson,PG,LAL
Victor,Claver,SF,POR
Norris,Cole,PG,MIA
Norris,Cole,PG,NOP
Darren,Collison,PG,SAC
Nick,Collison,PF,OKC
Mike,Conley,PG,MEM
Jack,Cooley,PF,UTA
Chris,Copeland,SF,IND
Bryce,Cotton,PG,UTA
DeMarcus,Cousins,C,SAC
Robert,Covington,SF,PHI
Allen,Crabbe,SG,POR
Jamal,Crawford,SG,LAC
Jae,Crowder,SF,DAL
Jae,Crowder,SF,BOS
Dante,Cunningham,PF,NOP
Jared,Cunningham,SG,LAC
Seth,Curry,PG,PHO
Stephen,Curry,PG,GSW
Samuel,Dalembert,C,NYK
Troy,Daniels,SG,HOU
Troy,Daniels,SG,MIN
Troy,Daniels,SG,CHO
Luigi,Datome,SF,DET
Luigi,Datome,SF,BOS
Brandon,Davies,PF,PHI
Brandon,Davies,PF,BRK
Anthony,Davis,PF,NOP
Ed,Davis,PF,LAL
Glen,Davis,PF,LAC
Andre,Dawkins,SG,MIA
Austin,Daye,SF,SAS
Austin,Daye,SF,ATL
Dewayne,Dedmon,C,ORL
Matthew,Dellavedova,SG,CLE
Luol,Deng,SF,MIA
DeMar,DeRozan,SG,TOR
Boris,Diaw,PF,SAS
Gorgui,Dieng,C,MIN
Spencer,Dinwiddie,PG,DET
Joey,Dorsey,PF,HOU
Toney,Douglas,PG,NOP
Chris,Douglas-Roberts,SG,LAC
Goran,Dragic,SG,PHO
Goran,Dragic,PG,MIA
Zoran,Dragic,SG,PHO
Zoran,Dragic,SG,MIA
Larry,Drew,PG,PHI
Andre,Drummond,C,DET
Jared,Dudley,SG,MIL
Tim,Duncan,PF,SAS
Mike,Dunleavy,SF,CHI
Kevin,Durant,SF,OKC
Cleanthony,Early,SF,NYK
Wayne,Ellington,SG,LAL
Monta,Ellis,SG,DAL
James,Ennis,SF,MIA
Tyler,Ennis,PG,PHO
Tyler,Ennis,PG,MIL
Jeremy,Evans,SF,UTA
Reggie,Evans,PF,SAC
Tyreke,Evans,SF,NOP
Dante,Exum,PG,UTA
Festus,Ezeli,C,GSW
Kenneth,Faried,PF,DEN
Jordan,Farmar,PG,LAC
Derrick,Favors,PF,UTA
Raymond,Felton,PG,DAL
Landry,Fields,SF,TOR
Evan,Fournier,SG,ORL
Randy,Foye,SG,DEN
Tim,Frazier,PG,PHI
Tim,Frazier,PG,POR
Jimmer,Fredette,PG,NOP
Joel,Freeland,C,POR
Channing,Frye,PF,ORL
Danilo,Gallinari,SF,DEN
Langston,Galloway,PG,NYK
Francisco,Garcia,SF,HOU
Kevin,Garnett,PF,BRK
Kevin,Garnett,PF,MIN
Marc,Gasol,C,MEM
Pau,Gasol,PF,CHI
Rudy,Gay,SF,SAC
Alonzo,Gee,SF,DEN
Alonzo,Gee,SF,POR
Paul,George,SF,IND
Taj,Gibson,PF,CHI
Manu,Ginobili,SG,SAS
Rudy,Gobert,C,UTA
Drew,Gooden,PF,WAS
Archie,Goodwin,SG,PHO
Aaron,Gordon,PF,ORL
Ben,Gordon,SG,ORL
Drew,Gordon,C,PHI
Eric,Gordon,SG,NOP
Marcin,Gortat,C,WAS
Danny,Granger,SF,MIA
Jerami,Grant,SF,PHI
Danny,Green,SG,SAS
Draymond,Green,SF,GSW
Erick,Green,PG,DEN
Gerald,Green,SG,PHO
JaMychal,Green,PF,SAS
JaMychal,Green,PF,MEM
Jeff,Green,SF,BOS
Jeff,Green,SF,MEM
Willie,Green,SG,ORL
Blake,Griffin,PF,LAC
Jorge,Gutierrez,PG,BRK
Jorge,Gutierrez,PG,MIL
P.J.,Hairston,SG,CHO
Jordan,Hamilton,SF,LAC
Justin,Hamilton,C,MIA
Justin,Hamilton,C,MIN
Tyler,Hansbrough,PF,TOR
Tim,Hardaway,SG,NYK
James,Harden,SG,HOU
Maurice,Harkless,SF,ORL
Devin,Harris,PG,DAL
Gary,Harris,SG,DEN
Joe,Harris,SG,CLE
Tobias,Harris,SF,ORL
Udonis,Haslem,PF,MIA
Spencer,Hawes,PF,LAC
Chuck,Hayes,C,TOR
Gordon,Hayward,SF,UTA
Brendan,Haywood,C,CLE
Gerald,Henderson,SG,CHO
Xavier,Henry,SF,LAL
John,Henson,C,MIL
Roy,Hibbert,C,IND
J.J.,Hickson,C,DEN
Nene,Hilario,PF,WAS
George,Hill,PG,IND
Jordan,Hill,C,LAL
Solomon,Hill,SF,IND
Kirk,Hinrich,SG,CHI
Jrue,Holiday,PG,NOP
Justin,Holiday,SG,GSW
Ryan,Hollins,C,SAC
Rodney,Hood,SG,UTA
Al,Horford,C,ATL
Dwight,Howard,C,HOU
Lester,Hudson,SG,LAC
Robbie,Hummel,SF,MIN
Kris,Humphries,PF,WAS
Serge,Ibaka,PF,OKC
Andre,Iguodala,SG,GSW
Ersan,Ilyasova,PF,MIL
Joe,Ingles,SF,UTA
Kyrie,Irving,PG,CLE
Jarrett,Jack,PG,BRK
Reggie,Jackson,PG,OKC
Reggie,Jackson,PG,DET
Bernard,James,C,DAL
LeBron,James,SF,CLE
Al,Jefferson,C,CHO
Cory,Jefferson,PF,BRK
Richard,Jefferson,SF,DAL
John,Jenkins,SG,ATL
Brandon,Jennings,PG,DET
Jonas,Jerebko,PF,DET
Jonas,Jerebko,PF,BOS
Grant,Jerrett,PF,OKC
Grant,Jerrett,PF,UTA
Amir,Johnson,PF,TOR
Chris,Johnson,SF,PHI
Chris,Johnson,SF,UTA
Chris,Johnson,SF,MIL
James,Johnson,PF,TOR
Joe,Johnson,SG,BRK
Nick,Johnson,SG,HOU
Tyler,Johnson,SG,MIA
Wesley,Johnson,SF,LAL
Dahntay,Jones,SF,LAC
James,Jones,SF,CLE
Perry,Jones,SF,OKC
Terrence,Jones,PF,HOU
DeAndre,Jordan,C,LAC
Jerome,Jordan,C,BRK
Cory,Joseph,PG,SAS
Chris,Kaman,C,POR
Enes,Kanter,C,UTA
Enes,Kanter,C,OKC
Sergey,Karasev,SG,BRK
Ryan,Kelly,PF,LAL
Michael,Kidd-Gilchrist,SF,CHO
Sean,Kilpatrick,SG,MIN
Andrei,Kirilenko,SF,BRK
Alex,Kirk,C,CLE
Brandon,Knight,PG,MIL
Brandon,Knight,SG,PHO
Kyle,Korver,SG,ATL
Kosta,Koufos,C,MEM
Ognjen,Kuzmic,C,GSW
Jeremy,Lamb,SG,OKC
Carl,Landry,PF,SAC
Shane,Larkin,PG,NYK
Joffrey,Lauvergne,C,DEN
Zach,LaVine,PG,MIN
Ty,Lawson,PG,DEN
Ricky,Ledo,SG,DAL
Ricky,Ledo,SG,NYK
Courtney,Lee,SG,MEM
David,Lee,PF,GSW
Malcolm,Lee,SG,PHI
Alex,Len,C,PHO
Kawhi,Leonard,SF,SAS
Meyers,Leonard,C,POR
Jon,Leuer,PF,MEM
Damian,Lillard,PG,POR
Jeremy,Lin,PG,LAL
Shaun,Livingston,PG,GSW
Brook,Lopez,C,BRK
Robin,Lopez,C,POR
Kevin,Love,PF,CLE
Kyle,Lowry,PG,TOR
John,Lucas,PG,DET
Kalin,Lucas,PG,MEM
Shelvin,Mack,PG,ATL
Ian,Mahinmi,C,IND
Devyn,Marble,SG,ORL
Shawn,Marion,SF,CLE
Kendall,Marshall,PG,MIL
Cartier,Martin,SF,DET
Kenyon,Martin,PF,MIL
Kevin,Martin,SG,MIN
Wesley,Matthews,SG,POR
Jason,Maxiell,PF,CHO
O.J.,Mayo,SG,MIL
Luc,Mbah,PF,PHI
James,Michael,PF,GSW
Ray,McCallum,PG,SAC
C.J.,McCollum,SG,POR
K.J.,McDaniels,SG,PHI
K.J.,McDaniels,SG,HOU
Doug,McDermott,SF,CHI
Mitch,McGary,PF,OKC
JaVale,McGee,C,DEN
JaVale,McGee,C,PHI
Ben,McLemore,SG,SAC
Jerel,McNeal,PG,PHO
Josh,McRoberts,PF,MIA
Jodie,Meeks,SG,DET
Gal,Mekel,PG,NOP
Khris,Middleton,PF,MIL
C.J.,Miles,SG,IND
Andre,Miller,PG,WAS
Andre,Miller,PG,SAC
Darius,Miller,SF,NOP
Mike,Miller,SF,CLE
Quincy,Miller,PF,SAC
Quincy,Miller,PF,DET
Patrick,Mills,PG,SAS
Elijah,Millsap,SG,UTA
Paul,Millsap,PF,ATL
Nikola,Mirotic,PF,CHI
Nazr,Mohammed,C,CHI
Greg,Monroe,PF,DET
E'Twaun,Moore,SG,CHI
Eric,Moreland,PF,SAC
Darius,Morris,PG,BRK
Marcus,Morris,PF,PHO
Markieff,Morris,PF,PHO
Anthony,Morrow,SG,OKC
Donatas,Motiejunas,PF,HOU
Timofey,Mozgov,C,DEN
Timofey,Mozgov,C,CLE
Shabazz,Muhammad,SG,MIN
Toure',Murry,PG,UTA
Toure',Murry,SG,WAS
Mike,Muscala,PF,ATL
Shabazz,Napier,PG,MIA
Gary,Neal,SG,CHO
Gary,Neal,SG,MIN
Jameer,Nelson,PG,DAL
Jameer,Nelson,PG,BOS
Jameer,Nelson,PG,DEN
Andrew,Nicholson,PF,ORL
Joakim,Noah,C,CHI
Nerlens,Noel,PF,PHI
Lucas,Nogueira,C,TOR
Steve,Novak,SF,UTA
Steve,Novak,PF,OKC
Dirk,Nowitzki,PF,DAL
Jusuf,Nurkic,C,DEN
Johnny,O'Bryant,PF,MIL
Kyle,O'Quinn,PF,ORL
Victor,Oladipo,PG,ORL
Kelly,Olynyk,C,BOS
Arinze,Onuaku,C,MIN
Zaza,Pachulia,C,MIL
Kostas,Papanikolaou,SF,HOU
Jannero,Pargo,PG,CHO
Jabari,Parker,SF,MIL
Tony,Parker,PG,SAS
Chandler,Parsons,SF,DAL
Patrick,Patterson,PF,TOR
Chris,Paul,PG,LAC
Adreian,Payne,PF,ATL
Adreian,Payne,PF,MIN
Elfrid,Payton,PG,ORL
Nikola,Pekovic,C,MIN
Kendrick,Perkins,C,OKC
Kendrick,Perkins,C,CLE
Paul,Pierce,SF,WAS
Mason,Plumlee,C,BRK
Miles,Plumlee,C,PHO
Miles,Plumlee,C,MIL
Quincy,Pondexter,SG,MEM
Quincy,Pondexter,SF,NOP
Otto,Porter,SF,WAS
Dwight,Powell,PF,BOS
Dwight,Powell,PF,DAL
Phil,Pressey,PG,BOS
A.J.,Price,PG,IND
A.J.,Price,PG,CLE
A.J.,Price,PG,PHO
Ronnie,Price,PG,LAL
Pablo,Prigioni,PG,NYK
Pablo,Prigioni,PG,HOU
Tayshaun,Prince,SF,MEM
Tayshaun,Prince,SF,BOS
Tayshaun,Prince,SF,DET
Miroslav,Raduljica,C,MIN
Julius,Randle,PF,LAL
Shavlik,Randolph,PF,PHO
Shavlik,Randolph,PF,BOS
Zach,Randolph,PF,MEM
J.J.,Redick,SG,LAC
Glen,Rice,SG,WAS
Jason,Richardson,SG,PHI
Luke,Ridnour,PG,ORL
Austin,Rivers,SG,NOP
Austin,Rivers,PG,LAC
Andre,Roberson,SG,OKC
Brian,Roberts,PG,CHO
Glenn,Robinson,SG,MIN
Glenn,Robinson,SF,PHI
Nate,Robinson,PG,DEN
Nate,Robinson,PG,LAC
Thomas,Robinson,PF,POR
Thomas,Robinson,PF,PHI
Rajon,Rondo,PG,BOS
Rajon,Rondo,PG,DAL
Derrick,Rose,PG,CHI
Terrence,Ross,SF,TOR
Ricky,Rubio,PG,MIN
Damjan,Rudez,SF,IND
Brandon,Rush,SG,GSW
Robert,Sacre,C,LAL
John,Salmons,SF,NOP
JaKarr,Sampson,SF,PHI
Larry,Sanders,C,MIL
Dennis,Schroder,PG,ATL
Luis,Scola,PF,IND
Mike,Scott,PF,ATL
Thabo,Sefolosha,SF,ATL
Kevin,Seraphin,C,WAS
Ramon,Sessions,PG,SAC
Ramon,Sessions,PG,WAS
Iman,Shumpert,SG,NYK
Iman,Shumpert,SG,CLE
Alexey,Shved,SG,PHI
Alexey,Shved,SG,HOU
Alexey,Shved,SG,NYK
Henry,Sims,C,PHI
Kyle,Singler,SF,DET
Kyle,Singler,SF,OKC
Donald,Sloan,PG,IND
Marcus,Smart,PG,BOS
Greg,Smith,PF,DAL
Ish,Smith,PG,OKC
Ish,Smith,PG,PHI
J.R.,Smith,SG,NYK
J.R.,Smith,SG,CLE
Jason,Smith,C,NYK
Josh,Smith,PF,DET
Josh,Smith,PF,HOU
Russ,Smith,PG,NOP
Russ,Smith,PG,MEM
Tony,Snell,SF,CHI
Marreese,Speights,PF,GSW
Tiago,Splitter,C,SAS
Nik,Stauskas,SG,SAC
Lance,Stephenson,SG,CHO
Greg,Stiemsma,C,TOR
David,Stockton,PG,SAC
Jarnell,Stokes,PF,MEM
Amar'e,Stoudemire,PF,NYK
Amar'e,Stoudemire,PF,DAL
Rodney,Stuckey,PG,IND
Jared,Sullinger,PF,BOS
Jeffery,Taylor,SF,CHO
Jeff,Teague,PG,ATL
Mirza,Teletovic,PF,BRK
Sebastian,Telfair,PG,OKC
Garrett,Temple,SG,WAS
Jason,Terry,SG,HOU
Isaiah,Thomas,PG,PHO
Isaiah,Thomas,PG,BOS
Lance,Thomas,SF,OKC
Lance,Thomas,PF,NYK
Malcolm,Thomas,PF,PHI
Tyrus,Thomas,PF,MEM
Hollis,Thompson,SG,PHI
Jason,Thompson,PF,SAC
Klay,Thompson,SG,GSW
Tristan,Thompson,PF,CLE
Marcus,Thornton,SG,BOS
Marcus,Thornton,SG,PHO
Anthony,Tolliver,PF,PHO
Anthony,Tolliver,PF,DET
P.J.,Tucker,SF,PHO
Ronny,Turiaf,C,MIN
Hedo,Turkoglu,SF,LAC
Evan,Turner,SG,BOS
Ekpe,Udoh,PF,LAC
Beno,Udrih,PG,MEM
Jonas,Valanciunas,C,TOR
Anderson,Varejao,C,CLE
Greivis,Vasquez,PG,TOR
Charlie,Villanueva,PF,DAL
Noah,Vonleh,PF,CHO
Nikola,Vucevic,C,ORL
Dwyane,Wade,SG,MIA
Dion,Waiters,SG,CLE
Dion,Waiters,SG,OKC
Henry,Walker,SF,MIA
Kemba,Walker,PG,CHO
John,Wall,PG,WAS
Gerald,Wallace,SF,BOS
T.J.,Warren,SF,PHO
C.J.,Watson,PG,IND
David,Wear,PF,SAC
Travis,Wear,SF,NYK
Martell,Webster,SF,WAS
David,West,PF,IND
Russell,Westbrook,PG,OKC
Hassan,Whiteside,C,MIA
Shayne,Whittington,PF,IND
Andrew,Wiggins,SG,MIN
C.J.,Wilcox,SG,LAC
Deron,Williams,PG,BRK
Derrick,Williams,PF,SAC
Elliot,Williams,SG,UTA
Elliot,Williams,SG,NOP
Louis,Williams,SG,TOR
Marvin,Williams,PF,CHO
Mo,Williams,PG,MIN
Mo,Williams,PG,CHO
Reggie,Williams,SF,SAS
Shawne,Williams,SF,MIA
Shawne,Williams,SF,DET
Jeff,Withey,C,NOP
Nate,Wolters,PG,MIL
Nate,Wolters,PG,NOP
Brandan,Wright,PF,DAL
Brandan,Wright,PF,BOS
Brandan,Wright,PF,PHO
Dorell,Wright,SF,POR
Tony,Wroten,SG,PHI
James,Young,SG,BOS
Nick,Young,SG,LAL
Thaddeus,Young,PF,MIN
Thaddeus,Young,PF,BRK
Cody,Zeller,C,CHO
Tyler,Zeller,C,BOS
